time,Dis Y(Dv),Dis Y Old(Dv),difference Dis Y,Dis X(Dh),loadcell Y (KN),loadcell X (KN),sigma Y (KN/M^2),newsigma Y (KN/M^2),round data
2025-02-20 12:37:19 , -0.018 , -0.019 , 0.001 , 0.327  , 81.667 , 68.056 , 81.667 , 81.949 ,184
2025-02-20 12:37:19 , -0.018 , -0.018 , 0.0 , 0.327  , 81.667 , 68.056 , 81.667 , 81.667 ,185
2025-02-20 12:37:22 , -0.016 , -0.018 , 0.002 , 0.328  , 81.667 , 68.056 , 81.667 , 82.23 ,186
2025-02-20 12:37:23 , -0.017 , -0.016 , -0.001 , 0.33  , 81.667 , 68.056 , 81.667 , 81.385 ,187
2025-02-20 12:37:26 , -0.019 , -0.017 , -0.002 , 0.329  , 81.667 , 68.056 , 81.667 , 81.104 ,188
2025-02-20 12:37:26 , -0.02 , -0.019 , -0.001 , 0.329  , 81.667 , 68.056 , 81.667 , 81.385 ,189
2025-02-20 12:37:29 , -0.018 , -0.02 , 0.002 , 0.337  , 81.667 , 68.056 , 81.667 , 82.23 ,190
2025-02-20 12:37:30 , -0.018 , -0.018 , 0.0 , 0.337  , 81.667 , 68.056 , 81.667 , 81.667 ,191
2025-02-20 12:37:33 , -0.018 , -0.018 , 0.0 , 0.341  , 81.667 , 68.056 , 81.667 , 81.667 ,192
2025-02-20 12:37:33 , -0.018 , -0.018 , 0.0 , 0.341  , 81.667 , 68.056 , 81.667 , 81.667 ,193
2025-02-20 12:37:36 , -0.019 , -0.018 , -0.001 , 0.345  , 81.667 , 68.056 , 81.667 , 81.385 ,194
2025-02-20 12:37:37 , -0.018 , -0.019 , 0.001 , 0.344  , 81.667 , 68.056 , 81.667 , 81.949 ,195
2025-02-20 12:37:40 , -0.019 , -0.018 , -0.001 , 0.348  , 81.394 , 68.056 , 81.394 , 81.113 ,196
2025-02-20 12:37:40 , -0.019 , -0.019 , 0.0 , 0.348  , 81.394 , 68.056 , 81.394 , 81.394 ,197
2025-02-20 12:37:43 , -0.018 , -0.019 , 0.001 , 0.354  , 81.394 , 68.056 , 81.394 , 81.675 ,198
2025-02-20 12:37:44 , -0.018 , -0.018 , 0.0 , 0.354  , 81.394 , 68.056 , 81.394 , 81.394 ,199
2025-02-20 12:37:47 , -0.018 , -0.018 , 0.0 , 0.356  , 81.394 , 68.056 , 81.394 , 81.394 ,200
2025-02-20 12:37:47 , -0.018 , -0.018 , 0.0 , 0.356  , 81.394 , 68.056 , 81.394 , 81.394 ,201
2025-02-20 12:37:50 , -0.018 , -0.018 , 0.0 , 0.359  , 81.394 , 68.056 , 81.394 , 81.394 ,202
2025-02-20 12:37:51 , -0.018 , -0.018 , 0.0 , 0.361  , 81.394 , 68.056 , 81.394 , 81.394 ,203
2025-02-20 12:37:54 , -0.018 , -0.018 , 0.0 , 0.362  , 81.394 , 68.056 , 81.394 , 81.394 ,204
2025-02-20 12:37:54 , -0.018 , -0.018 , 0.0 , 0.362  , 81.394 , 68.056 , 81.394 , 81.394 ,205
2025-02-20 12:37:57 , -0.018 , -0.018 , 0.0 , 0.366  , 81.394 , 68.056 , 81.394 , 81.394 ,206
2025-02-20 12:37:58 , -0.018 , -0.018 , 0.0 , 0.367  , 81.394 , 68.056 , 81.394 , 81.394 ,207
2025-02-20 12:38:01 , -0.019 , -0.018 , -0.001 , 0.369  , 81.394 , 68.056 , 81.394 , 81.113 ,208
